Name,rank,region,longitude,latitude,age,height,weight,run400,run5k,fran,candj,snatch,deadlift,backsq,pullups,coach,certification,multiple,howlong
DavidLevey,32,South Africa,22.9375,-30.5595,37,70,198,50,1280,200,320,265,474,441,45,0,1,1,2
ZekeGrove,30,Australia,133.7751,-25.2744,26,67,182,62,1400,151,348,275,517,440,46,1,0,1,2
BrandonSwan,30,Australia,133.7751,-25.2744,23,69,185,58,1492,153,331,276,551,441,50,1,1,1,2
RickyGarard,39,Australia,133.7751,-25.2744,20,70,179,51,1452,180,352,286,517,429,45,1,1,1,2
LukeFiso,52,Australia,133.7751,-25.2744,25,69,189,53,1495,203,298,265,485,403,47,0,1,1,2
MarcoCasali,2,Chile,-71.543,-35.6751,48,69,185,58,1245,209,276,220,441,445,70,0,1,1,2
DavidSantaCruzBorgstrand,9,Sweden,18.6435,60.1282,32,71,194,63,1150,138,320,243,507,441,66,1,1,1,2
ErikToth,58,Slovakia,19.6990,48.6690,25,70,189,61,1483,172,315,245,450,450,40,1,1,1,2
MattNicholson,10,Australia,133.7751,-25.2744,51,67,176,60,1245,205,242,195,495,429,65,0,1,0,0
DionWalmsley,3,Australia,133.7751,-25.2744,48,70,179,55,1190,216,231,187,441,331,74,0,1,0,0
JasonSmith,10,South Africa,22.9375,-30.5595,30,73,195,65,1270,133,345,275,550,450,65,0,0,1,2
ArminasBalevicius,43,Lithuania,23.8813,55.1694,22,69,170,56,1450,184,335,256,496,421,49,0,0,1,2
AtesBoran,60,Turkey,35.2433,38.9637,28,68,169,65,1500,166,309,254,474,419,40,0,0,1,2
JasonMiller,10,Australia,133.7751,-25.2744,43,65,160,76,1200,230,135,125,335,200,59,0,0,0,0
TroyStraith,16,Canada West (British Columbia),-125.9066,49.1530,54,76,204,86,1283,292,215,165,345,265,45,1,1,1,2
AndyAndrews,136,Sri Lanka,80.7718,7.8731,26,66,149,66,1590,223,231,161,386,282,31,1,0,0,0
BruceYoung,16,Canada East (Toronto),-79.3832,43.6532,50,70,185,76,1201,300,218,170,425,320,51,1,0,1,2
FrederikAegidius,15,Denmark,9.5018,56.2639,27,69,192,67,1240,147,287,220,441,397,50,0,1,1,2
RussellKapper,18,Australia,133.7751,-25.2744,54,65,154,70,1200,249,220,187,386,331,30,1,1,1,2
WilliamSanchez,117,Costa Rica,-83.7534,9.7489,47,70,217,72,1806,390,315,245,485,420,34,1,0,0,0
